symbol,Company name,Sector,Exchange,Price,Market cap (optional)
AAPL,Apple Inc.,Technology,NMS,340.08,4994876047360
MSFT,Microsoft Corporation,Technology,NMS,393.35,2921974988800
NVDA,NVIDIA Corporation,Technology,NMS,197.01,4771778920448
AMZN,"Amazon.com, Inc.",Consumer Cyclical,NMS,230.86,2483386318848
GOOGL,Alphabet Inc.,Communication Services,NMS,333.71,4081251516416
GOOG,Alphabet Inc.,Communication Services,NMS,332.60,4067676389376
META,"Meta Platforms, Inc.",Communication Services,NMS,593.41,1506325692416
TSLA,"Tesla, Inc.",Consumer Cyclical,NMS,307.44,1214248910848
BRK-B,Berkshire Hathaway Inc.,Financial Services,NYQ,512.37,1105107091456
JPM,JPMorgan Chase & Co.,Financial Services,NYQ,357.31,949801451520
V,Visa Inc.,Financial Services,NYQ,366.59,697160237056
WMT,Walmart Inc.,Consumer Defensive,NMS,113.10,900058710016
MA,Mastercard Incorporated,Financial Services,NYQ,562.75,497236836352
UNH,UnitedHealth Group Incorporated,Healthcare,NYQ,428.79,389403246592
XOM,ExxonMobil Holdings Corporation,Energy,NYQ,153.04,634342670336
ORCL,Oracle Corporation,Technology,NYQ,119.96,345541312512
COST,Costco Wholesale Corporation,Consumer Defensive,NMS,966.58,428657770496
PG,The Procter & Gamble Company,Consumer Defensive,NYQ,148.88,346681835520
JNJ,Johnson & Johnson,Healthcare,NYQ,266.73,642792226816
HD,"The Home Depot, Inc.",Consumer Cyclical,NYQ,344.47,343476797440
ABBV,AbbVie Inc.,Healthcare,NYQ,263.20,465019895808
BAC,Bank of America Corporation,Financial Services,NYQ,62.62,439465115648
KO,The Coca-Cola Company,Consumer Defensive,NYQ,88.27,379825815552
NFLX,"Netflix, Inc.",Communication Services,NMS,72.39,301427589120
CVX,Chevron Corporation,Energy,NYQ,187.58,373583904768
CRM,"Salesforce, Inc.",Technology,NYQ,181.50,148648493056
PM,Philip Morris International Inc.,Consumer Defensive,NYQ,200.17,311987634176
IBM,International Business Machines Corporation,Technology,NYQ,227.55,214382690304
MRK,"Merck & Co., Inc.",Healthcare,NYQ,131.82,325572296704
LIN,Linde plc,Basic Materials,NMS,511.18,236342689792
GE,GE Aerospace,Industrials,NYQ,363.59,377247334400
CSCO,"Cisco Systems, Inc.",Technology,NMS,115.58,455551025152
ACN,Accenture plc,Technology,NYQ,164.66,100762386432
MCD,McDonald's Corporation,Consumer Cyclical,NYQ,273.02,193982300160
ABT,Abbott Laboratories,Healthcare,NYQ,107.27,186844282880
TMO,Thermo Fisher Scientific Inc.,Healthcare,NYQ,576.41,214206316544
PEP,"PepsiCo, Inc.",Consumer Defensive,NMS,142.86,195146760192
WFC,Wells Fargo & Company,Financial Services,NYQ,86.87,263087128576
DIS,The Walt Disney Company,Communication Services,NYQ,98.89,171723620352
AMD,"Advanced Micro Devices, Inc.",Technology,NMS,454.62,741303648256
ADBE,Adobe Inc.,Technology,NMS,249.18,99049046016
DHR,Danaher Corporation,Healthcare,NYQ,199.05,139929370624
TXN,Texas Instruments Incorporated,Technology,NMS,277.07,253033545728
INTU,Intuit Inc.,Technology,NMS,312.99,85614338048
QCOM,QUALCOMM Incorporated,Technology,NMS,162.88,171675533312
CAT,Caterpillar Inc.,Industrials,NYQ,840.85,387288760320
VZ,Verizon Communications Inc.,Communication Services,NYQ,48.19,201220177920
AMGN,Amgen Inc.,Healthcare,NMS,393.10,212159332352
NOW,"ServiceNow, Inc.",Technology,NYQ,110.62,114365816832
UBER,"Uber Technologies, Inc.",Technology,NYQ,70.74,143998271488
PFE,Pfizer Inc.,Healthcare,NYQ,25.25,143910961152
RTX,RTX Corporation,Industrials,NYQ,218.58,294592970752
SPGI,S&P Global Inc.,Financial Services,NYQ,424.36,125101326336
HON,Honeywell International Inc.,Industrials,NMS,247.05,78300028928
BKNG,Booking Holdings Inc.,Consumer Cyclical,NMS,199.31,154441023488
AMAT,"Applied Materials, Inc.",Technology,NMS,476.46,378289913856
SYK,Stryker Corporation,Healthcare,NYQ,346.60,132872847360
TJX,"The TJX Companies, Inc.",Consumer Cyclical,NYQ,160.80,177636474880
NEE,"NextEra Energy, Inc.",Utilities,NYQ,89.28,186202849280
COP,ConocoPhillips,Energy,NYQ,114.10,139007344640
BLK,"BlackRock, Inc.",Financial Services,NYQ,1097.55,178464178176
GS,"The Goldman Sachs Group, Inc.",Financial Services,NYQ,1033.34,304842964992
C,Citigroup Inc.,Financial Services,NYQ,132.47,222205181952
SBUX,Starbucks Corporation,Consumer Cyclical,NMS,103.10,117503066112
DE,Deere & Company,Industrials,NYQ,639.84,172825460736
LMT,Lockheed Martin Corporation,Industrials,NYQ,581.31,134160973824
GILD,"Gilead Sciences, Inc.",Healthcare,NMS,134.32,166767673344
ADP,"Automatic Data Processing, Inc.",Technology,NMS,264.17,105597804544
EL,The Estée Lauder Companies Inc.,Consumer Defensive,NYQ,84.75,30662119424
MDT,Medtronic plc,Healthcare,NYQ,86.88,111210323968
MO,"Altria Group, Inc.",Consumer Defensive,NYQ,74.82,124941262848
CB,Chubb Limited,Financial Services,NYQ,363.50,140987138048
MDLZ,"Mondelez International, Inc.",Consumer Defensive,NMS,62.48,80202440704
SO,The Southern Company,Utilities,NYQ,96.78,109100204032
NOC,Northrop Grumman Corporation,Industrials,NYQ,549.22,78023852032
PLD,"Prologis, Inc.",Real Estate,NYQ,147.12,140366594048
BMY,Bristol-Myers Squibb Company,Healthcare,NYQ,63.60,129875730432
CI,The Cigna Group,Healthcare,NYQ,301.06,79640125440
BA,The Boeing Company,Industrials,NYQ,221.56,174986428416
CVS,CVS Health Corporation,Healthcare,NYQ,109.34,139509891072
SCHW,The Charles Schwab Corporation,Financial Services,NYQ,105.97,184296194048
AXP,American Express Company,Financial Services,NYQ,336.63,227329556480
TMUS,"T-Mobile US, Inc.",Communication Services,NMS,182.39,195644571648
PANW,"Palo Alto Networks, Inc.",Technology,NMS,319.00,259984998400
ETN,Eaton Corporation plc,Industrials,NYQ,386.26,149984755712
LRCX,Lam Research Corporation,Technology,NMS,269.61,337166434304
MU,"Micron Technology, Inc.",Technology,NMS,820.53,926700994560
UPS,"United Parcel Service, Inc.",Industrials,NYQ,105.53,89701163008
ADI,"Analog Devices, Inc.",Technology,NMS,365.83,178191040512
AON,Aon plc,Financial Services,NYQ,381.26,81428348928
ICE,"Intercontinental Exchange, Inc.",Financial Services,NYQ,152.72,86365069312
APD,"Air Products and Chemicals, Inc.",Basic Materials,NYQ,292.85,65212039168
CME,CME Group Inc.,Financial Services,NMS,260.00,93490610176
KLAC,KLA Corporation,Technology,NMS,190.80,249237307392
SHW,The Sherwin-Williams Company,Basic Materials,NYQ,354.27,87375593472
CDNS,"Cadence Design Systems, Inc.",Technology,NMS,344.72,95079292928
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,NMS,695.18,72881995776
PH,Parker-Hannifin Corporation,Industrials,NYQ,990.96,124946571264
PYPL,"PayPal Holdings, Inc.",Financial Services,NMS,58.32,50271838208
HCA,"HCA Healthcare, Inc.",Healthcare,NYQ,418.19,92771188736
WM,"Waste Management, Inc.",Industrials,NYQ,239.41,96141246464
SNPS,"Synopsys, Inc.",Technology,NMS,383.82,73493594112
ITW,Illinois Tool Works Inc.,Industrials,NYQ,295.16,84917534720
EMR,Emerson Electric Co.,Industrials,NYQ,151.81,85028773888
MCK,McKesson Corporation,Healthcare,NYQ,889.50,104140652544
CTAS,Cintas Corporation,Industrials,NMS,214.90,85991587840
EOG,"EOG Resources, Inc.",Energy,NYQ,139.64,74376249344
HUM,Humana Inc.,Healthcare,NYQ,388.71,46669107200
EQIX,"Equinix, Inc.",Real Estate,NMS,1034.86,102062284800
TT,Trane Technologies plc,Industrials,NYQ,470.03,103902699520
RSG,"Republic Services, Inc.",Industrials,NYQ,216.63,66649276416
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,NMS,91.17,75553947648
CEG,Constellation Energy Corporation,Utilities,NMS,259.82,92782247936
CSX,CSX Corporation,Industrials,NMS,50.84,94179819520
FCX,Freeport-McMoRan Inc.,Basic Materials,NYQ,61.64,88611184640
USB,U.S. Bancorp,Financial Services,NYQ,64.43,100364656640
EW,Edwards Lifesciences Corporation,Healthcare,NYQ,83.68,48182943744
CL,Colgate-Palmolive Company,Consumer Defensive,NYQ,92.73,74201554944
PNC,"The PNC Financial Services Group, Inc.",Financial Services,NYQ,251.60,100388405248
CARR,Carrier Global Corporation,Industrials,NYQ,63.16,52459458560
MMM,3M Company,Industrials,NYQ,182.48,94109024256
HWM,Howmet Aerospace Inc.,Industrials,NYQ,286.04,114446745600
OXY,Occidental Petroleum Corporation,Energy,NYQ,53.93,53640650752
ECL,Ecolab Inc.,Basic Materials,NYQ,282.90,79618670592
AJG,Arthur J. Gallagher & Co.,Financial Services,NYQ,265.31,68169281536
PSA,Public Storage,Real Estate,NYQ,330.47,61713866752
APH,Amphenol Corporation,Technology,NYQ,143.85,176969236480
NSC,Norfolk Southern Corporation,Industrials,NYQ,338.84,76106301440
MPC,Marathon Petroleum Corporation,Energy,NYQ,306.05,89347203072
VLO,Valero Energy Corporation,Energy,NYQ,298.88,88747270144
F,Ford Motor Company,Consumer Cyclical,NYQ,14.96,59611004928
DXCM,"DexCom, Inc.",Healthcare,NMS,74.85,28882593792
ROP,"Roper Technologies, Inc.",Technology,NMS,390.92,38661988352
GD,General Dynamics Corporation,Industrials,NYQ,393.19,106330439680
MSI,"Motorola Solutions, Inc.",Technology,NYQ,440.31,73089515520
WMB,"The Williams Companies, Inc.",Energy,NYQ,70.16,85805563904
MAR,"Marriott International, Inc.",Consumer Cyclical,NMS,383.52,101129854976
FDX,FedEx Corporation,Industrials,NYQ,312.64,73964748800
MCO,Moody's Corporation,Financial Services,NYQ,484.20,83854237696
AIG,"American International Group, Inc.",Financial Services,NYQ,80.83,42856566784
TRV,"The Travelers Companies, Inc.",Financial Services,NYQ,397.22,82850168832
KMB,Kimberly-Clark Corporation,Consumer Defensive,NMS,113.09,37539131392
AFL,Aflac Incorporated,Financial Services,NYQ,129.55,65938993152
AEP,"American Electric Power Company, Inc.",Utilities,NMS,133.02,72376852480
GIS,"General Mills, Inc.",Consumer Defensive,NYQ,37.65,20094121984
SRE,Sempra,Utilities,NYQ,90.56,59199737856
ROST,"Ross Stores, Inc.",Consumer Cyclical,NMS,251.03,80525672448
PAYX,"Paychex, Inc.",Technology,NMS,118.87,42280022016
PCAR,PACCAR Inc,Industrials,NMS,138.21,72738021376
TGT,Target Corporation,Consumer Defensive,NYQ,144.20,65494355968
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,NYQ,322.43,72578990080
AZO,"AutoZone, Inc.",Consumer Cyclical,NYQ,3118.80,50915516416
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,NYQ,33.51,42984411136
A,"Agilent Technologies, Inc.",Healthcare,NYQ,140.54,39692984320
IDXX,"IDEXX Laboratories, Inc.",Healthcare,NMS,569.54,44927021056
D,"Dominion Energy, Inc.",Utilities,NYQ,70.62,62111174656
JCI,Johnson Controls International plc,Industrials,NYQ,140.28,85587009536
MS,Morgan Stanley,Financial Services,NYQ,211.58,332603752448
ADSK,"Autodesk, Inc.",Technology,NMS,237.38,50121658368
O,Realty Income Corporation,Real Estate,NYQ,65.73,61292736512
CPRT,"Copart, Inc.",Industrials,NMS,30.69,29563936768
NEM,Newmont Corporation,Basic Materials,NYQ,91.52,96433913856
TEL,TE Connectivity plc,Technology,NYQ,214.29,62131384320
FAST,Fastenal Company,Industrials,NMS,48.10,55194632192
KVUE,Kenvue Inc.,Consumer Defensive,NYQ,19.75,37920169984
ANET,"Arista Networks, Inc.",Technology,NYQ,169.71,213693644800
LULU,lululemon athletica inc.,Consumer Cyclical,NMS,120.32,13662808064
ROK,"Rockwell Automation, Inc.",Industrials,NYQ,471.17,52428947456
YUM,"Yum! Brands, Inc.",Consumer Cyclical,NYQ,150.28,41420357632
ALL,The Allstate Corporation,Financial Services,NYQ,272.42,70126616576
SLB,SLB N.V.,Energy,NYQ,49.98,74170318848
PSX,Phillips 66,Energy,NYQ,205.85,82532474880
DOW,Dow Inc.,Basic Materials,NYQ,28.85,20839530496
AEE,Ameren Corporation,Utilities,NYQ,112.51,31137325056
AMP,"Ameriprise Financial, Inc.",Financial Services,NYQ,546.62,48321208320
CNC,Centene Corporation,Healthcare,NYQ,63.91,31571220480
DLR,"Digital Realty Trust, Inc.",Real Estate,NYQ,193.18,72687640576
WELL,Welltower Inc.,Real Estate,NYQ,243.57,175102967808
MSCI,MSCI Inc.,Financial Services,NYQ,579.39,42121654272
CSGP,"CoStar Group, Inc.",Real Estate,NMS,30.33,12385428480
ODFL,"Old Dominion Freight Line, Inc.",Industrials,NMS,226.28,47059062784
EXC,Exelon Corporation,Utilities,NMS,47.31,48407977984
FANG,"Diamondback Energy, Inc.",Energy,NMS,190.31,53535326208
MET,"MetLife, Inc.",Financial Services,NYQ,97.49,62728650752
KHC,The Kraft Heinz Company,Consumer Defensive,NMS,27.30,32371728384
PRU,"Prudential Financial, Inc.",Financial Services,NYQ,123.93,43044003840
XEL,Xcel Energy Inc.,Utilities,NMS,80.33,50147573760
HIG,"The Hartford Insurance Group, Inc.",Financial Services,NYQ,143.42,39315841024
NUE,Nucor Corporation,Basic Materials,NYQ,265.62,60492550144
ON,ON Semiconductor Corporation,Technology,NMS,84.39,32843372544
GPN,Global Payments Inc.,Industrials,NYQ,87.46,23924115456
OTIS,Otis Worldwide Corporation,Industrials,NYQ,73.61,28021069824
VICI,VICI Properties Inc.,Real Estate,NYQ,27.10,29839273984
CTVA,"Corteva, Inc.",Basic Materials,NYQ,88.95,59491532800
SYY,Sysco Corporation,Consumer Defensive,NYQ,85.20,40788672512
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,NYQ,322.50,86492880896
DD,"DuPont de Nemours, Inc.",Basic Materials,NYQ,140.77,19006683136
GEHC,GE HealthCare Technologies Inc.,Healthcare,NMS,64.11,29163112448
MPWR,"Monolithic Power Systems, Inc.",Technology,NMS,1282.01,62985150464
ILMN,"Illumina, Inc.",Healthcare,NMS,192.98,29197873152
